zipcode,prop_crime_rt,crime_grade,num_of_assaults
98103,D,65,21
98038,A,95,258
98052,C-,72,30
98115,C,75,9
98117,C,75,4
98042,A,95,455
98034,B-,82,1
98118,D+,68,35
98023,A,95,2
98006,C,75,1
98133,C,75,527
98059,A-,92,155
98058,B+,88,258
98074,A+,98,108
98033,C+,78,2
98155,C-,72,317
98027,A-,92,58
98053,A+,98,89
98125,C-,72,53
98056,B-,82,37
98075,A+,98,68
98001,B+,88,288
98092,A-,92,120
98126,D+,68,31
98144,D-,62,59
98116,C,75,3
98106,D,65,111
98029,B+,88,82
98199,C+,78,0
98004,D-,62,7
98065,A+,98,68
98028,A+,98,184
98146,D+,68,662
98008,B-,82,0
98198,C,75,311
98122,D-,62,4
98003,D+,68,94
98031,B,85,3
98040,B+,88,1
98168,D-,62,776
98072,C+,78,201
98112,C,75,5
98055,B-,82,11
98136,B-,82,1
98107,D,65,4
98178,C-,72,483
98166,C,75,673
98030,D,65,9
98177,A,95,74
98105,D,65,26
98022,B,85,85
98045,C,75,55
98002,D+,68,12
98077,A+,98,43
98019,A+,98,30
98011,A-,92,4
98108,D-,62,31
98119,D+,68,10
98005,D,65,0
98007,B,85,2
98188,F,55,721
98032,D,65,58
98070,A-,92,97
98014,A+,98,55
98102,D,65,22
98109,D-,62,21
98010,A+,98,7
98024,A+,98,53
98148,D,65,276
98039,B-,82,0
